deal_id,product_id,quantity,price,discount_percentage,total_amount
9725,89,67,5462.14,10.62,327098.07
12913,48,96,6970.52,26.81,489765.46
16393,42,37,3119.44,3.28,111633.53
4198,21,97,3866.53,25.43,279677.33
4986,8,54,4220.98,3.65,219613.37
11233,95,64,5814.11,25.33,277849.34
17666,13,91,2145.37,0.5,194252.53
13775,3,86,5566.51,26.79,350470.81
10527,11,83,1785.34,26.42,109033.21
9578,47,60,5601.29,17.43,277499.11
11266,33,24,4388.78,14.04,90542.29
4176,78,100,2655.08,17.23,219760.97
14457,11,40,5577.43,11.44,197574.88
15730,7,75,2008.07,24.16,114219.02
17830,63,74,4494.99,25.5,247808.8
19815,23,52,5955.9,29.02,219829.89
2202,88,44,7781.97,10.96,304878.91
7153,18,55,6416.03,7.21,327438.88
3732,98,55,7741.92,20.81,337195.45
18975,24,50,7693.99,29.88,269751.29
13242,83,49,643.12,3.58,30384.72
17059,12,56,7485.63,20.49,333302.17
19393,82,51,5752.29,16.68,244433.21
14772,37,16,7633.47,2.48,119106.56
2560,49,44,8095.05,28.86,253388.02
17952,38,81,9204.94,18.49,607738.67
19182,17,63,7602.62,12.05,421249.77
15211,81,98,6660.77,1.67,641854.44
15644,52,43,4875.79,0.27,209092.89
17668,9,30,8427.12,27.97,182101.64
11413,35,94,7781.9,10.09,657690.39
16188,6,92,7879.48,16.42,605881.58
11966,22,58,5265.64,24.17,231590.22
19619,46,69,7885.8,29.79,382026.79
10581,55,65,3997.32,28.03,186996.63
18757,27,40,9362.93,27.76,270551.23
13352,13,79,3094.61,7.35,226505.34
11350,69,22,4132.13,23.34,69689.2
7179,34,23,6236.12,12.63,125315.46
6646,60,60,6858.54,3.31,397891.34
17525,91,40,8758.31,22.59,271192.31
3914,88,94,3889.91,26.47,268863.58
19753,98,46,7225.49,19.2,268557.01
17203,66,48,1069.0,19.62,41244.59
5654,96,14,8392.69,1.12,116181.69
15352,59,38,1736.3,4.98,62693.63
17380,98,87,7556.93,27.82,474549.51
16096,21,59,8496.47,6.27,469860.74
12171,51,21,8096.01,11.2,150974.39
2978,52,73,7980.35,17.11,482888.58
12626,17,90,5890.54,4.5,506291.91
17268,92,53,2304.97,25.11,91488.18
7137,66,91,7890.06,14.75,612091.13
11538,96,13,1764.77,8.23,21053.88
16106,51,54,4926.24,18.28,217389.06
7465,78,11,8986.51,6.38,92544.88
13351,5,48,2557.77,7.86,113123.01
16837,24,26,1023.04,3.76,25598.92
7883,41,87,3150.76,25.17,205121.09
4901,4,33,7538.89,27.88,179422.57
13012,63,77,4076.97,9.03,285579.11
5560,34,45,7930.2,15.84,300332.53
8232,86,48,5411.87,24.15,197035.36
9492,86,100,1243.75,28.35,89114.69
17057,93,47,5598.4,18.93,213315.28
15301,51,79,5354.59,26.99,308841.51
16267,31,17,4865.07,1.44,81515.22
12044,56,79,5344.86,20.01,337752.93
16616,76,84,4932.11,27.86,298874.03
19016,76,62,6340.83,23.67,300077.24
14334,100,34,6203.25,28.47,150864.28
11493,6,16,8578.34,2.21,134220.14
12682,82,81,3675.35,15.07,252839.46
19961,62,6,3523.94,13.48,18293.48
10419,84,30,7231.51,22.85,167373.3
5388,68,17,4272.82,14.73,61938.37
116,94,64,1872.97,14.4,102608.79
13726,32,21,6579.2,21.46,108513.38
15134,95,50,6162.52,3.96,295924.21
14033,77,53,1549.47,7.51,75954.55
16777,44,4,6341.84,8.76,23145.18
6793,56,78,295.83,25.51,17188.37
9475,81,98,6310.29,2.59,602391.64
4730,39,92,6430.92,27.55,428646.54
7461,62,51,6684.14,17.08,282666.93
11840,25,53,7038.43,20.1,298056.4
15851,58,14,280.92,13.4,3405.87
7278,84,43,1607.02,20.74,54770.13
5789,84,74,9273.86,5.27,650099.44
7824,42,46,5231.64,16.95,199864.34
13696,52,61,8642.51,9.46,477320.64
11895,51,15,6243.63,25.6,69678.91
17748,60,92,5198.24,6.29,448156.9
16184,47,91,7724.11,13.9,605191.74
6498,54,3,7874.41,8.71,21565.65
16046,83,11,931.24,4.98,9733.51
18753,18,38,4624.03,14.29,150603.73
17303,88,80,3189.65,16.25,213706.55
19295,11,63,2260.78,27.69,102990.51
1067,19,59,7139.77,5.82,396729.89
1879,54,23,3956.12,28.08,65440.55
12089,67,62,533.3,10.83,29483.7
1997,45,77,9129.96,26.81,514530.76
19241,89,54,4280.15,13.68,199509.78
3961,8,86,2115.37,19.64,146192.37
1653,49,74,2528.17,10.72,167029.11
303,52,34,403.17,11.55,12124.53
6323,52,1,3028.35,5.23,2869.97
9584,66,53,3011.68,3.49,154048.34
10426,65,36,6847.24,2.94,239253.52
18516,63,55,4816.57,8.98,241122.31
2216,39,99,3066.91,24.81,228294.95
15244,94,54,3053.41,9.09,149896.17
8011,30,82,9874.91,20.88,640668.36
14558,29,72,3179.42,13.6,197785.36
2425,41,95,2800.48,18.17,217705.11
2537,78,52,7035.46,29.08,259456.51
11013,49,41,3372.2,14.05,118834.64
2480,14,99,5377.5,20.36,423981.46
2801,83,46,7031.71,16.74,269311.68
14573,54,92,5516.26,15.67,427971.31
5865,22,53,2763.36,8.76,133628.35
6448,22,17,9985.26,23.96,129077.46
17160,56,90,7234.73,0.89,645330.68
19814,69,43,7976.55,19.65,275593.79
15598,92,51,4575.9,15.23,197828.51
5557,23,84,3419.16,18.08,235281.97
4048,7,68,9769.24,21.48,521614.89
18236,2,89,9077.25,13.51,698731.3
5793,60,59,2889.1,7.83,157110.12
8107,99,11,863.36,28.41,6798.87
10494,89,41,7272.85,18.59,242753.91
3076,42,28,9243.7,11.7,228541.24
11884,77,7,793.41,29.0,3943.25
6718,80,26,8554.24,1.91,218162.2
19448,44,39,7295.7,23.85,216671.35
15721,62,67,6918.34,28.23,332674.61
522,1,46,2234.76,19.72,82527.01
12735,90,82,828.99,3.67,65482.42
16036,49,61,4909.81,8.17,275029.39
1833,82,42,4747.84,9.32,180824.34
788,81,90,3182.77,1.54,282037.98
8571,93,56,5060.44,21.3,223023.71
3849,47,76,4292.69,4.37,311987.56
8606,92,88,4382.74,12.56,337239.57
11080,26,54,6458.27,23.48,266860.88
10291,50,23,1252.02,14.75,24548.98
15451,28,29,374.17,13.15,9424.03
3021,59,32,5406.04,26.02,127980.43
9343,25,51,1628.52,11.23,73727.5
16690,70,45,6299.87,14.26,243067.88
11660,70,15,7447.82,17.46,92211.46
1962,25,92,4626.71,11.42,377047.25
4478,3,53,1752.8,2.36,90706.0
4916,49,78,303.24,0.63,23503.71
14870,3,82,1292.71,12.78,92455.14
4743,25,24,575.15,19.86,11062.21
18812,43,20,4825.09,3.76,92873.33
12942,72,74,8936.7,6.51,618264.14
16900,48,21,1776.25,21.85,29150.93
3680,44,72,543.02,26.76,28634.97
17655,84,80,4760.9,15.81,320656.14
6555,78,39,4103.17,0.82,158711.44
11089,44,57,5165.49,22.56,228008.86
15289,92,97,2953.19,26.92,209344.55
14026,50,65,9811.34,10.31,571986.4
9067,71,55,7736.47,4.09,408102.66
14870,74,76,8618.78,14.88,557559.22
11514,16,58,1104.69,29.77,44997.78
1850,94,92,2220.3,15.98,171625.64
12564,35,60,6042.65,1.66,356540.52
14718,20,65,6071.31,25.15,295384.41
11670,94,22,8674.96,24.53,144033.83
13903,39,11,3730.66,24.53,30970.82
8464,44,87,9989.74,15.65,733092.08
5333,85,19,4444.55,2.09,82681.52
13561,20,71,8144.47,8.84,527139.42
19969,74,54,929.71,29.33,35479.41
6812,14,72,5561.88,23.19,307589.76
10987,15,27,5291.74,17.57,117773.49
10652,17,81,8988.83,25.54,542139.71
17955,82,78,610.1,5.5,44970.47
3431,21,19,9694.06,13.39,159524.48
17539,100,30,7961.27,14.66,203824.43
1556,73,81,9913.11,21.35,631529.54
13909,51,48,6698.0,2.15,314591.66
10820,87,71,3397.68,22.09,187946.41
581,60,20,8875.55,2.91,172345.43
6808,88,43,7077.04,7.22,282341.34
4563,9,69,1270.88,8.26,80447.47
13988,74,31,2770.49,9.2,77983.75
11278,68,44,2939.87,6.95,120364.16
3683,1,33,5861.38,8.59,176810.29
7835,13,53,2159.0,8.02,105249.95
18015,30,78,9913.18,9.25,701704.45
5183,51,41,8438.33,13.42,299542.15
10560,59,77,8673.18,25.56,497136.27
16426,40,1,6311.69,18.61,5137.08
16525,37,10,3624.52,5.51,34248.09
1422,23,58,1218.66,24.5,53365.12
4885,10,44,6366.6,11.91,246766.87
18021,28,5,2906.34,2.09,14227.99
1281,75,13,1051.46,18.53,11136.12
5433,60,80,6817.46,15.51,460805.76
12299,50,78,5556.79,12.59,378860.83
2392,4,87,9602.84,25.75,620319.46
15971,57,15,5674.65,22.11,66299.77
10879,24,48,4647.23,10.69,199221.17
4838,71,2,2954.69,29.35,4174.98
15277,63,26,7212.66,0.53,186535.26
17393,99,3,2637.54,29.41,5585.52
15760,66,96,5922.97,1.13,562179.88
17987,98,42,4309.24,19.56,145586.81
18982,63,69,3032.1,8.42,191599.01
10284,72,27,6837.43,15.46,156069.81
9430,27,90,709.7,28.89,45420.09
16460,20,18,8890.33,28.77,113986.48
15056,86,62,2334.28,19.27,116836.78
13211,66,75,9761.01,17.32,605280.23
14326,79,58,2002.3,1.32,114600.44
14097,67,100,5195.86,3.76,500049.57
16290,36,8,8172.96,6.08,61408.35
1230,56,4,6228.66,4.01,23915.56
8465,84,13,4284.45,0.67,55324.67
9499,51,89,7526.1,16.02,562517.27
286,54,80,1884.37,18.42,122981.52
7944,20,18,9233.0,2.67,161756.62
11061,98,70,3485.98,26.32,179792.9
1951,39,9,9416.03,22.97,65278.51
14773,65,48,5761.92,11.38,245098.25
12325,75,19,3655.73,21.79,54323.78
11503,17,91,6628.22,17.96,494839.04
6215,8,76,1857.77,8.68,128935.18
14482,56,34,5450.98,23.87,141094.26
17566,55,79,3661.43,25.68,214972.81
3719,25,97,7995.2,3.1,751492.83
8881,87,66,2471.93,14.07,140192.54
195,27,61,8421.75,29.65,361406.77
8493,1,22,8766.67,18.21,157745.71
12987,97,1,7830.87,5.47,7402.52
17588,39,82,6726.34,15.57,465682.01
2914,88,84,4449.59,28.38,267690.89
3839,42,60,2508.39,5.42,142346.12
11574,21,29,4171.3,6.9,112620.93
8685,30,59,5509.9,22.06,253370.55
9256,54,43,4578.8,22.59,152411.31
16427,8,29,961.51,29.88,19552.11
487,29,56,8019.98,21.16,354085.32
4599,64,74,8584.22,23.77,484237.57
16297,42,16,4297.58,25.73,51069.0
14328,83,40,2691.6,27.86,77668.81
303,32,35,7722.27,24.43,204250.18
19173,94,42,8656.06,18.78,295278.98
18930,18,31,6006.97,25.79,138190.95
13587,85,90,1031.6,20.17,74117.37
16564,73,35,415.61,14.72,12405.13
1256,52,41,7340.08,19.62,241898.21
13059,18,33,2705.71,23.97,67885.99
8603,1,44,7375.0,7.91,298832.05
10766,51,4,7401.64,7.93,27258.76
170,4,64,7000.93,2.33,437619.73
10811,96,99,5035.15,27.62,360799.72
5951,99,15,4276.99,10.57,57373.68
13275,14,5,4601.32,10.21,20657.63
7870,86,45,4562.63,1.17,202916.13
12662,60,82,7820.8,4.93,609689.23
11528,19,80,4495.15,24.01,273269.16
5317,57,80,4178.82,5.06,317389.74
7835,71,97,9669.8,8.66,856742.35
12090,26,42,6740.29,7.36,262256.6
2232,96,40,7118.01,11.57,251778.25
14654,25,46,9333.19,2.79,417348.52
9025,6,11,1303.83,15.16,12167.86
6660,6,8,3303.71,11.56,23374.41
9505,61,19,1390.92,19.91,21165.77
4932,77,29,4471.82,15.7,109322.58
18897,61,52,4716.0,19.61,197142.0
1936,51,82,9791.54,2.18,785402.92
11945,91,55,2631.52,26.76,106002.89
15233,17,89,7674.48,26.83,499772.11
11649,51,46,9671.26,6.4,416405.77
3755,50,27,9239.13,23.36,191183.47
4686,11,89,4567.91,1.35,401055.65
9665,49,70,1709.41,11.31,106125.3
12136,46,73,5655.93,26.29,304335.98
16516,4,58,9635.55,5.19,529856.97
9000,38,25,3534.19,23.78,67343.99
2911,39,94,8969.96,24.22,638958.95
173,86,62,5724.66,29.99,248485.74
19773,19,9,9298.72,12.27,73419.9
18211,50,79,4756.43,4.73,357984.62
2136,6,28,3827.46,1.88,105154.11
5316,11,55,7569.74,29.35,294141.17
14625,20,30,6567.52,0.21,196611.85
15756,85,85,2507.42,2.5,207802.43
8131,41,81,2351.99,22.23,148160.55
14251,93,30,5088.38,20.44,121449.45
836,49,93,9157.86,9.8,768216.24
19337,38,57,2068.6,11.23,104668.88
8201,34,79,4720.27,2.39,363988.99
15911,100,27,7154.65,14.24,165667.35
17254,31,53,9568.19,16.87,421563.93
19413,68,7,7407.29,18.88,42061.56
2274,64,20,6222.43,21.05,98252.17
11550,45,12,6554.52,1.33,77608.14
16376,42,72,697.22,2.05,49170.74
4191,46,20,9782.1,21.45,153676.79
6750,30,49,6946.43,29.39,240338.84
13137,3,57,3833.37,20.09,174605.02
1258,40,99,1099.24,2.04,106604.73
12251,40,79,4096.41,2.41,315817.24
7546,50,5,5819.1,24.89,21853.63
195,19,13,3260.73,17.51,34967.09
16462,68,55,9317.78,4.53,489262.65
7855,16,87,849.75,1.59,72752.79
4916,16,11,3381.83,21.45,29220.7
8859,16,94,2810.6,20.55,209904.04
7822,79,68,7204.23,27.47,355315.51
11578,40,63,3514.09,24.94,166173.59
3186,31,65,2896.02,0.64,187036.56
16747,54,30,7857.13,5.07,223763.21
8515,25,75,6326.93,28.2,340705.18
7834,96,81,8651.61,2.61,682490.04
8667,59,97,1980.25,25.48,143141.18
19822,72,98,7189.36,14.84,600000.98
18524,74,66,6825.82,18.29,368106.92
17398,58,68,5764.8,7.12,364095.54
15066,15,29,7452.54,5.48,204280.08
4553,62,5,7468.29,4.04,35832.86
6994,56,41,8795.08,19.51,290245.56
5535,82,10,1359.97,13.21,11803.18
17219,42,85,6299.97,14.2,459456.81
7059,6,90,5854.58,16.71,438865.17
412,99,60,6570.12,8.45,360896.69
14574,80,1,8592.59,1.48,8465.42
15816,32,1,353.47,26.36,260.3
11229,61,65,9582.88,21.16,491084.27
9038,6,15,8118.47,12.65,106372.25
2321,36,23,7049.67,6.26,151992.3
14833,93,96,931.98,14.44,76550.6
4427,84,61,2736.62,9.5,151075.11
8792,17,75,7482.85,25.18,419900.13
10904,89,61,6220.5,4.26,363285.91
11645,12,28,1271.12,25.49,26519.12
6361,82,53,3994.32,0.07,211550.77
3675,51,6,2890.08,3.62,16712.75
17610,61,89,4298.47,1.58,376519.32
13836,27,46,7758.86,11.84,314649.7
11555,74,68,7166.58,1.88,478165.68
11485,15,26,9844.11,11.8,225745.13
9949,89,34,7402.83,0.17,251268.34
14919,94,57,3584.91,12.99,177796.12
15825,16,5,1024.94,14.87,4362.66
13828,87,13,2554.44,2.64,32331.04
12177,68,77,7184.97,28.46,395789.82
14042,100,48,5287.66,3.57,244746.75
17241,76,48,7246.66,6.08,326691.03
2865,30,1,6490.07,16.28,5433.49
7825,54,42,2914.67,28.18,87919.27
16454,76,7,5882.42,11.83,36305.71
1955,63,54,1662.19,22.65,69428.01
7607,92,11,9914.08,22.45,84572.06
12664,73,50,4760.01,4.35,227647.48
19680,74,87,7542.49,21.84,512883.29
16077,3,39,7874.68,7.06,285430.38
15551,70,67,4633.68,22.17,241628.34
6705,34,29,5717.87,26.69,121561.34
15688,89,23,4686.09,12.79,93995.0
4765,33,87,9128.91,2.5,774359.79
6120,15,23,6276.08,15.22,122379.79
18931,17,15,3826.91,6.43,53712.6
11270,69,100,3281.72,24.53,247671.41
1249,83,35,7777.9,16.17,228207.47
18124,86,78,5819.28,19.04,367480.55
9329,79,15,3799.62,11.97,50172.08
17203,42,47,7560.78,5.25,336700.44
7628,25,18,8781.62,24.3,119658.35
5348,24,58,4469.36,2.91,251679.49
2081,28,21,7987.31,27.41,121757.75
17242,73,88,7994.74,18.08,576337.61
18728,33,43,8023.77,0.59,342986.48
13161,52,18,581.46,14.53,8945.53
18376,2,32,1203.16,18.79,31266.76
398,67,59,7791.14,18.34,375372.45
582,21,98,3935.78,7.2,357935.58
12665,25,49,5631.54,17.59,227406.65
12831,62,16,5159.54,11.87,72753.64
19014,93,37,5352.24,11.62,175021.46
13748,97,94,9321.79,22.1,682597.39
17170,66,9,2965.45,26.78,19541.72
1831,41,49,453.1,28.3,15918.76
4244,17,51,3110.74,23.76,120953.04
4723,35,77,211.87,5.7,15384.09
2340,27,63,755.14,0.31,47426.34
6692,48,34,1741.98,26.17,43727.53
13596,25,4,1730.28,14.56,5913.4
11229,94,90,4769.83,13.09,373091.33
11531,61,92,7295.06,11.08,596782.6
306,29,2,3446.8,4.21,6603.38
19225,99,13,1917.28,22.0,19441.22
8723,34,42,2138.12,5.24,85095.47
11445,23,57,6346.54,6.26,339107.06
13836,9,88,3970.25,20.92,276291.29
16609,31,76,7473.32,14.51,485559.54
4688,26,59,5456.99,25.48,239926.39
17079,94,62,8890.29,18.87,447186.92
1521,17,5,2027.47,26.28,7473.25
2170,71,24,6767.18,20.16,129670.0
12046,86,60,4772.01,20.32,228140.25
13087,36,86,3310.08,1.76,279656.74
10969,19,38,2932.96,5.51,105311.45
18323,65,50,4352.59,1.59,214169.19
11621,70,40,1312.58,28.26,37665.8
8646,60,68,7815.81,18.31,434161.99
14146,12,47,345.58,6.71,15152.4
5225,43,86,5769.05,26.0,367142.34
12551,48,90,5773.89,6.88,483898.17
11152,36,74,9859.57,27.83,526558.22
1962,81,18,5651.52,15.98,85471.33
5950,80,52,5900.66,16.81,255255.47
18545,86,77,2592.88,4.72,190228.2
3604,48,39,2993.8,11.24,103634.58
637,73,1,4438.6,7.64,4099.49
19419,29,10,6224.72,4.86,59221.99
12141,21,21,4627.96,11.84,85680.2
12299,12,17,4041.13,20.06,54918.15
16299,45,67,1862.72,21.74,97670.23
11341,43,42,4504.69,9.81,170636.76
3420,53,100,7616.35,16.78,633832.65
15974,50,70,1611.2,11.05,100321.37
2327,72,88,4298.07,26.12,279436.44
14266,98,97,315.48,6.09,28737.92
5672,11,18,4362.97,24.04,59654.02
11291,21,22,1539.19,26.42,24915.79
10500,84,57,3206.03,25.94,135339.99
5508,75,6,6758.48,15.29,34350.65
13046,12,56,662.02,6.9,34515.07
11938,22,85,4504.22,8.59,349971.14
9511,70,49,1210.33,12.84,51691.26
9065,22,31,2211.24,20.78,54304.07
11779,77,67,4864.88,1.39,321416.3
5516,94,28,1756.98,11.89,43346.1
13496,83,49,1265.36,18.36,50618.96
12396,10,17,1904.95,19.46,26082.19
3687,26,93,8125.63,5.25,716010.2
11657,63,17,9420.47,18.87,129928.06
18981,26,34,8415.19,21.31,225145.04
449,43,75,4233.21,26.53,233260.45
5820,27,1,9710.03,0.38,9673.13
10560,54,33,6486.21,20.84,169437.97
8647,89,87,8375.61,10.36,653187.02
3792,84,40,1883.12,4.71,71777.0
1836,70,62,4609.44,4.74,272239.06
15916,19,13,6433.34,8.74,76323.86
11417,20,83,2892.69,22.94,185015.87
5911,83,1,3001.83,26.98,2191.94
10936,52,28,3661.1,14.41,87738.99
3174,41,43,4111.11,1.84,173525.02
854,40,98,9490.42,18.71,756046.72
11501,33,94,3043.81,17.73,235389.39
8943,11,23,2654.06,10.68,54523.95
18769,87,13,5321.2,11.4,61289.58
13202,72,34,6487.7,12.7,192567.91
17657,67,63,2224.39,5.57,132330.96
18319,7,68,4684.73,14.9,271095.96
9821,76,58,7620.58,20.41,351782.74
11310,90,96,7142.06,6.05,644156.68
5898,51,54,4800.09,20.12,207052.84
1309,97,40,1677.5,14.59,57310.11
1303,41,34,4535.14,19.68,123849.23
1330,100,34,7905.19,2.78,261304.47
18501,89,88,1109.06,2.43,95225.67
1482,92,41,9793.22,9.51,363337.28
16755,80,29,3663.69,16.82,88376.26
18352,68,4,477.73,12.55,1671.1
19229,32,82,737.63,23.1,46513.47
7483,69,87,8065.37,6.06,659164.95
13972,48,40,4182.82,8.9,152421.96
19530,24,27,7751.64,29.61,147322.24
11601,70,21,9480.53,28.66,142031.61
9626,30,87,3675.99,7.78,294929.82
12458,66,48,8329.93,21.72,312992.12
18430,29,37,9125.98,5.43,319326.25
16810,82,100,3388.97,19.29,273523.77
18256,58,72,4641.24,9.4,302757.37
4538,2,13,6402.29,24.79,62597.11
6598,30,71,411.23,16.53,24371.01
11796,53,24,6789.28,2.22,159325.39
8141,66,75,8778.49,15.57,555875.93
1360,28,82,5058.22,28.46,296729.35
15380,59,52,7052.36,12.8,319782.21
18563,41,14,9377.31,9.08,119361.9
15266,99,98,4809.09,2.03,461723.62
17288,61,70,4399.73,15.27,260952.39
19290,10,58,4861.09,17.7,232039.27
9837,74,2,5968.65,18.13,9773.07
11809,94,96,9996.69,17.62,790586.23
13175,31,91,2489.81,14.09,194648.62
8997,37,53,4193.49,24.23,168402.59
17573,81,67,1099.82,15.83,62023.14
5645,58,85,2686.28,9.45,206756.26
12416,78,31,8521.16,17.63,217585.26
10835,13,72,3432.81,4.54,235941.15
13603,97,3,9494.68,28.06,20491.42
12709,48,27,7452.67,16.11,168805.21
15943,87,100,6960.34,3.1,674456.95
12006,58,56,5145.24,3.33,278538.6
18580,96,52,3536.75,6.97,171092.4
16127,49,34,2612.9,22.47,68876.57
2946,81,68,8007.26,27.87,392743.29
30,99,40,2698.24,11.19,95852.28
12297,34,83,7737.05,4.44,613662.57
6076,50,62,5297.67,21.64,257377.76
12394,8,13,1363.28,9.07,16115.2
8461,50,43,8141.62,5.31,331499.9
6209,44,83,2739.14,23.21,174581.01
18534,24,56,8664.94,24.84,364703.86
9259,99,57,3780.11,4.56,205641.01
14632,64,57,4111.23,27.13,170763.64
10960,2,62,8195.06,17.08,421311.31
16769,78,64,8919.38,4.92,542754.98
7404,83,5,8061.21,29.7,28335.15
11389,56,78,4619.77,21.68,282219.9
6953,67,30,6824.16,22.23,159214.48
637,12,42,3107.06,11.04,116089.7
15520,76,19,2082.43,12.52,34612.49
426,11,1,4456.96,18.5,3632.42
8336,80,21,466.97,14.39,8395.23
11195,77,98,4979.19,21.54,382853.9
4500,38,49,6488.97,0.77,315511.24
19666,83,22,3142.68,15.55,58387.85
12966,49,3,3925.08,6.58,11000.43
15105,79,59,8992.79,4.07,508980.22
2783,41,66,288.96,8.05,17536.12
15886,4,22,138.17,26.26,2241.5
15711,96,69,1777.31,19.99,98119.78
5278,34,79,8551.0,10.87,602099.0
11267,34,17,3442.7,23.72,44643.56
12195,70,24,2897.29,12.32,60968.25
19674,73,34,3589.42,22.73,94300.52
15734,93,80,9684.71,28.24,555979.83
7544,82,92,432.05,22.93,30634.25
11865,52,10,9376.78,17.42,77433.45
13486,86,89,3656.45,8.07,299162.33
3921,22,83,5463.08,15.86,381520.75
18188,42,6,6708.63,27.6,29142.29
17694,48,34,4774.24,8.28,148883.72
5763,65,99,4579.69,24.08,344213.16
4577,11,87,2714.26,15.31,199987.49
16124,73,93,1315.6,9.78,110384.89
19627,1,43,9746.39,13.96,360589.14
1116,70,80,9104.48,8.43,666957.79
15266,54,90,5401.27,16.95,403717.93
7719,86,84,5640.35,24.7,356763.42
2041,82,89,600.22,6.98,49690.89
1347,79,35,4946.12,23.57,132311.18
11477,53,58,6901.28,28.7,285395.53
12790,48,19,5049.52,4.31,91805.83
4872,71,72,9627.14,16.14,581279.01
6220,1,2,7476.07,27.34,10864.22
12374,84,37,6290.34,11.27,206512.49
12843,37,17,6659.32,2.44,110446.15
10602,49,47,6583.92,7.31,286823.87
13616,13,46,8796.88,0.91,400974.11
722,91,51,400.17,26.83,14933.02
4919,17,77,8903.37,1.14,677744.11
13840,46,43,4302.43,24.41,139844.89
11148,32,13,5220.23,9.4,61483.87
1786,100,22,6173.92,22.47,105306.08
15035,1,32,3384.72,16.89,90017.31
7605,16,7,5858.68,13.45,35494.81
545,15,9,8993.95,10.57,72389.61
19189,24,35,7481.47,29.29,185155.16
14225,27,81,5190.73,13.83,362301.02
5554,22,9,1423.51,17.79,10532.41
1551,53,96,3304.97,21.82,248047.25
12613,90,87,7044.65,10.57,548102.65
14399,52,55,1853.18,21.6,79909.12
5557,59,72,9640.51,14.57,592983.91
17403,71,84,3187.77,13.98,230338.06
12264,88,1,2978.67,21.67,2333.19
10480,87,48,5132.07,21.2,194115.42
8900,78,96,1644.14,16.2,132267.77
11677,61,58,6953.06,29.54,284149.31
14740,92,63,8554.66,6.48,504020.04
1293,10,49,5793.02,26.13,209685.89
12046,77,38,624.87,4.16,22757.27
