id,deal_id,product_id,quantity,price,discount_percentage,total_amount
43,5490,3187,66,4035.83,29.14,188746.08
44,4304,1023,56,6823.79,28.73,272345.65
45,8955,3669,87,3134.75,4.46,260559.79
46,4448,1624,10,1831.12,20.43,14570.22
47,4700,2052,61,7359.15,29.33,317243.39
48,9527,2777,97,8501.04,3.33,797141.67
49,1394,712,69,2252.27,0.8,154163.38
50,4804,4562,27,9607.27,6.92,241446.07
51,1769,851,98,8999.42,1.87,865450.82
52,6259,4898,54,7319.52,24.43,298693.51
53,5134,3098,49,6556.3,6.54,300248.38
54,7683,2158,57,4868.76,17.02,230285.53
55,6951,4342,11,7149.45,27.53,56993.27
56,9237,4700,38,474.31,21.8,14094.6
57,9076,3360,78,6794.49,25.92,392601.94
58,6158,159,51,7848.54,7.49,370294.9
59,6152,1536,19,2661.23,29.82,35485.37
60,8039,3245,95,4076.1,1.51,381382.33
61,5761,4645,82,1468.72,6.92,112100.94
62,7428,3671,96,6109.21,10.26,526310.89
63,9455,4960,81,868.61,20.77,55744.18
64,6070,996,83,2550.72,26.7,155183.25
65,5962,2509,70,5155.75,12.24,316728.03
66,6064,3515,76,7392.29,25.17,420405.45
67,6332,3243,35,6575.75,20.2,183660.7
68,9517,23,6,6214.29,9.45,33762.24
69,9434,997,58,7517.89,17.0,361911.22
70,8274,2723,78,9637.49,16.86,624983.52
71,1116,3455,68,9215.92,28.69,446887.33
72,1050,2054,92,128.05,28.52,8420.77
73,8828,1232,22,2512.73,16.49,46164.38
74,2077,2217,32,8447.7,18.47,220397.11
75,7143,4118,76,8982.43,0.15,681640.68
76,4475,2334,56,1300.16,14.23,62448.24
77,1129,506,55,2508.75,23.48,105583.25
78,217,72,83,1087.39,11.71,79684.7
79,2447,2965,81,6546.5,6.76,494420.48
80,3402,3932,4,2090.06,29.62,5883.94
81,560,4559,15,3627.3,12.48,47619.19
82,5373,4035,75,9730.78,18.16,597275.28
83,1576,3487,90,5250.13,15.28,400311.91
84,7444,2192,33,2868.95,20.9,74888.2
85,2289,3670,73,1207.9,29.32,62323.29
86,7221,448,35,793.61,6.39,26001.44
87,2711,2153,87,8457.31,20.98,581418.07
88,4895,2918,60,3963.29,18.26,194375.59
89,1938,2178,85,3633.57,2.17,302151.33
90,7436,3722,85,8120.0,7.11,641126.78
91,3317,2394,86,3896.89,28.64,239150.58
92,7204,2207,25,3301.87,13.48,71419.45
93,8329,1282,98,7435.56,14.27,624701.55
94,7136,2720,10,2277.4,17.28,18838.65
95,4147,4552,34,1418.2,14.25,41347.62
96,8617,4275,25,3145.36,17.68,64731.51
97,1199,3626,16,6582.12,13.64,90949.1
98,6548,4970,22,7910.78,1.46,171496.22
99,6982,21,63,3597.25,12.76,197709.18
100,4848,2119,66,4929.89,18.27,265927.14
101,9288,382,95,8552.64,27.36,590200.58
102,2050,405,30,7934.19,19.98,190468.17
103,1504,2831,29,8768.47,12.25,223135.64
104,8421,3965,15,1038.32,20.25,12420.9
105,1606,2961,24,6241.08,12.14,131601.91
106,2452,434,73,2443.76,0.05,178305.28
107,4817,3195,50,759.16,0.6,37730.25
108,3307,2746,52,9526.11,10.76,442057.23
109,2214,1354,23,1750.1,6.87,37486.97
110,7708,1036,4,2034.93,12.61,7113.3
111,966,2248,80,8115.66,6.59,606467.04
112,7160,4739,10,9586.15,18.97,77676.57
113,1712,4403,7,2365.66,12.53,14484.7
114,8087,1798,71,3743.48,24.05,201865.29
115,8316,3618,42,2341.72,18.09,80560.32
116,2773,3014,93,3629.64,8.7,308189.1
117,7168,124,25,2934.32,6.71,68435.68
118,2765,3080,4,9981.76,14.81,34013.85
119,490,4938,15,8025.65,18.3,98354.34
120,6835,2684,3,6480.31,4.27,18610.8
121,7811,655,28,8618.06,19.95,193165.2
122,3410,1404,95,1236.74,24.56,88634.68
123,8897,507,38,2311.27,11.04,78132.02
124,9438,4527,58,5110.7,17.17,245525.18
125,1751,3953,97,6959.92,3.18,653643.67
126,1589,644,61,1117.09,19.79,54657.09
127,7535,4205,82,5229.58,3.65,413173.43
128,8207,2987,15,5985.96,20.14,71705.81
129,8356,4519,17,4617.81,5.71,74020.26
130,176,4741,76,3258.68,14.12,212690.13
131,5008,903,18,7910.97,9.74,128527.95
132,2629,1501,42,6966.56,12.85,254997.0
133,3136,4226,24,6896.67,20.4,131753.98
134,2749,2303,23,513.41,9.89,10640.58
135,4476,1081,65,8248.9,8.35,491407.6
136,7355,49,26,9740.92,29.89,177563.33
137,3022,679,31,5459.78,24.99,126956.81
138,1829,2598,80,3775.32,20.86,239023.06
139,348,4289,89,9101.37,21.89,632708.13
140,8756,344,71,9377.2,18.37,543477.19
141,1044,2507,50,9482.13,2.53,462111.61
142,6171,2026,6,7622.28,4.99,43451.57
143,8878,3768,15,8615.2,2.68,125764.69
144,8661,1850,26,3511.68,28.87,64944.31
145,6621,690,79,8603.01,6.17,637704.14
146,739,941,85,5171.85,4.18,421231.67
147,5973,3365,13,9830.57,17.32,105662.9
148,4111,677,41,3503.46,24.32,108708.16
149,3520,3371,81,1974.93,1.01,158353.64
150,8849,3286,83,9546.95,27.91,571238.89
151,7071,4768,55,3520.9,11.93,170547.11
152,3997,4364,36,2051.32,13.78,63671.33
153,2064,4371,97,2602.52,2.09,247168.35
154,7518,4771,82,9929.57,14.32,697627.76
155,7954,4500,61,7165.65,22.41,339149.5
156,2212,4890,51,323.49,6.49,15427.27
157,6039,4706,100,8316.62,6.07,781180.12
158,6345,3837,67,521.23,8.55,31936.54
159,3389,811,3,4686.61,3.1,13623.98
160,7087,3706,47,7962.3,17.29,309524.06
161,7901,4107,11,3176.39,13.5,30223.35
162,9997,838,53,7460.47,25.52,294497.58
163,6241,1921,49,9425.16,26.0,341756.3
164,6064,966,44,6158.41,10.59,242274.31
165,8908,102,32,6715.82,18.73,174654.3
166,26,860,51,8737.7,27.77,321873.28
167,6970,2712,29,3125.17,23.53,69304.71
168,497,4618,22,1956.08,7.05,39999.88
169,332,2674,74,4037.68,23.39,228901.73
170,515,3252,80,3161.48,22.16,196871.68
171,9989,439,98,3782.17,10.42,332030.65
172,8327,59,36,3945.56,16.34,118830.8
173,2299,3283,18,1293.09,23.27,17859.38
174,9254,847,22,2321.71,17.6,42087.96
175,6070,2845,3,2785.23,1.24,8252.08
176,8521,676,57,5859.47,13.5,288901.17
177,240,2998,26,1924.59,3.1,48488.12
178,5541,3254,92,2767.47,28.62,181738.65
179,6012,2170,54,184.99,17.32,8259.29
180,6405,1977,31,217.28,21.03,5319.17
181,4955,2636,59,726.56,19.2,34636.57
182,3477,3486,87,2274.12,22.18,153965.66
183,3712,1095,70,126.46,21.76,6925.96
184,4321,1231,30,5208.5,16.06,131160.45
185,4920,891,53,1590.73,11.85,74318.11
186,8006,4994,21,2097.5,13.44,38127.52
187,9299,2175,64,448.4,28.2,20604.88
188,1826,212,21,3559.68,12.83,65162.43
189,974,1102,12,5374.55,29.41,45526.74
190,9286,4454,97,5963.34,19.97,462928.72
191,1324,1697,38,4190.57,14.83,135626.12
192,3547,4033,60,7664.02,28.25,329936.06
193,9310,887,87,7789.14,17.21,561030.72
194,3465,2021,89,2169.88,11.42,171065.09
195,1214,1716,87,3105.56,20.44,214958.17
196,6571,4118,83,4650.01,25.28,288382.46
197,3508,2662,64,6639.7,8.02,390860.55
198,5155,3746,67,5414.71,17.66,298717.64
199,8198,1768,65,7121.99,1.54,455800.24
200,5907,4021,9,3677.78,4.21,31706.51
201,7036,3083,59,952.08,14.93,47786.13
202,6483,1719,38,4812.68,15.23,155028.94
203,488,2553,58,6355.95,18.59,300113.98
204,2972,4509,44,796.35,9.45,31728.18
205,9965,4787,53,2086.48,8.47,101217.02
206,2802,178,60,4567.75,1.37,270310.31
207,2459,3915,62,4350.65,8.45,246947.24
208,9744,1775,34,8215.93,19.86,223864.37
209,2771,4515,2,9390.9,5.84,17684.94
210,7824,2636,2,148.26,10.8,264.5
211,3061,2865,25,3906.0,2.96,94759.56
212,8673,3297,49,4994.15,19.57,196822.95
213,6322,2169,12,4336.59,21.98,40600.89
214,3145,197,90,8669.72,16.01,655352.8
215,2799,3210,72,5328.62,8.29,351855.17
216,3158,1124,18,715.46,9.54,11649.69
217,2861,3349,20,3343.19,29.46,47165.72
218,2173,1522,58,9940.69,26.51,423713.96
219,9111,2918,84,9562.16,17.31,664183.81
220,2799,4802,58,6621.98,8.24,352427.07
221,2583,3910,91,2651.89,19.0,195470.81
222,4868,3968,13,6911.2,7.0,83556.41
223,7002,3418,69,4203.73,9.82,261573.74
224,1962,3415,22,7283.41,6.25,150220.33
225,1298,947,96,5239.0,16.45,420209.71
226,6431,295,99,6408.78,19.21,512587.68
227,9677,1871,14,8996.19,13.1,109447.65
228,9063,2620,59,8401.23,6.34,464246.93
229,9495,10,98,7426.22,16.72,606086.49
230,4194,2589,62,3737.33,21.54,181803.17
231,8527,3602,57,276.79,25.62,11734.95
232,9089,1444,53,8739.03,8.1,425651.93
233,8542,444,94,5689.91,25.27,399694.56
234,4478,1523,28,5260.38,25.81,109274.93
235,1365,3905,55,8076.03,21.26,349748.63
236,3269,3334,20,9305.95,9.65,168158.52
237,2219,3762,51,4807.22,7.26,227369.01
238,1773,3016,3,5380.58,2.72,15702.68
239,4060,3319,35,9116.72,8.06,293366.93
240,4726,267,18,2932.35,11.62,46649.0
241,2745,3674,68,3069.22,22.07,162645.33
242,7752,2596,70,1677.85,24.19,89038.47
243,9792,879,18,8412.69,24.04,115025.03
244,5084,598,3,8480.93,0.34,25356.28
245,532,1288,47,8166.04,13.1,333525.57
246,5575,2857,14,5382.96,5.49,71224.1
247,4838,424,46,9055.98,22.72,321929.22
248,4073,1250,68,2571.56,15.92,147027.4
249,5379,1590,27,3284.9,9.53,80239.92
250,3122,868,95,1514.33,10.88,128209.24
251,908,3654,41,1664.2,26.05,50457.71
252,3117,3025,57,9780.23,19.47,448933.1
253,2801,3556,5,6583.3,29.11,23334.51
254,8103,4773,37,6105.91,27.79,163135.87
255,2802,357,77,5220.79,9.27,364735.35
256,9198,1881,57,962.84,29.25,38828.93
257,8850,1762,77,4501.31,9.47,313777.77
258,1296,3748,49,8276.93,26.89,296511.91
259,1804,848,58,9262.99,21.97,419218.84
260,6331,3420,11,711.4,18.14,6405.87
261,2065,1303,78,4087.08,10.02,286849.26
262,3078,349,97,2291.69,9.47,201242.69
263,6047,1462,58,6294.97,25.63,271531.01
264,5471,1318,97,7871.84,24.45,576875.99
265,2684,853,78,8043.03,22.72,484820.98
266,5423,2982,41,2380.15,29.79,68515.24
267,6646,3022,99,651.62,26.18,47621.56
268,8470,1676,27,2859.86,23.9,58761.54
269,9677,272,26,6883.44,12.11,157296.24
270,376,3971,32,8145.72,25.19,195002.02
271,955,19,29,1307.01,22.24,29473.6
272,3781,4251,99,8905.34,0.7,875457.26
273,1879,364,38,1593.96,24.68,45621.69
274,6928,1495,56,7078.89,21.77,310117.68
275,7930,1355,30,362.21,10.2,9757.94
276,4328,1549,23,7632.92,24.75,132106.76
277,1901,316,69,8655.78,24.88,448653.31
278,8690,186,97,6300.8,19.27,493403.68
279,1170,3505,47,1787.14,1.29,82912.04
280,4339,2331,83,2051.76,5.35,161185.24
281,8856,3751,1,846.1,14.32,724.94
282,5592,3508,48,8903.07,10.78,381279.31
283,7335,2087,70,955.31,22.32,51945.94
284,2738,4909,7,4264.69,15.94,25094.29
285,2743,2808,38,1003.13,24.38,28825.54
286,3638,3062,20,3019.61,26.43,44430.54
287,9549,44,54,4676.42,11.24,224142.68
288,772,3775,72,4623.95,6.99,309652.98
289,8948,2643,35,5129.77,5.21,170187.81
290,8886,2080,39,5705.08,29.97,155815.43
291,6268,2975,57,4719.21,17.74,221275.26
292,294,924,34,7903.96,22.77,207543.76
293,3062,1196,50,2170.97,28.0,78154.92
294,3575,933,22,3230.75,20.08,56804.34
295,1083,3048,73,6381.81,27.78,336452.85
296,921,1309,3,1047.99,9.97,2830.52
297,1984,2204,13,2197.73,21.41,22453.55
298,8845,3401,50,1703.77,18.36,69547.89
299,934,4114,52,909.09,21.95,36896.33
300,5959,4218,27,106.2,5.15,2719.73
301,7134,586,62,4685.54,0.18,289980.57
302,7108,910,16,5736.44,11.59,81145.39
303,7435,3346,9,6112.55,25.32,41083.67
304,8167,3687,5,8736.82,5.85,41128.58
305,2704,787,56,3245.47,18.18,148704.84
306,5084,4845,25,8551.36,25.73,158777.38
307,2586,4039,10,5122.17,29.78,35967.88
308,1973,3456,45,7829.9,24.31,266690.31
309,9980,1773,14,810.4,1.96,11123.23
310,1508,18,46,5683.6,6.31,244948.38
311,8053,2664,17,5057.18,10.81,76678.48
312,8824,3944,77,298.53,25.16,17203.33
313,2189,1299,14,4606.63,12.33,56540.86
314,1850,2669,40,7722.29,28.59,220579.49
315,4149,2403,16,9543.75,26.09,112860.57
316,4139,548,81,6088.6,10.01,443809.62
317,3586,2414,20,1427.77,12.1,25100.2
318,3340,590,3,6287.37,8.99,17166.41
319,4853,424,53,8662.92,22.37,356426.31
320,5988,1099,48,4899.32,18.9,190720.73
321,1186,523,54,4213.78,2.87,221013.6
322,2651,169,7,4320.13,18.52,24640.29
323,9583,3439,64,8104.68,14.1,445562.89
324,7708,1237,96,199.5,24.62,14436.78
325,2943,1185,76,5594.29,20.98,335966.2
326,9522,4302,76,3769.75,3.43,276674.02
327,6374,490,87,5691.69,23.57,378463.8
328,7899,826,49,8113.26,21.73,311162.18
329,1437,1877,84,1247.25,26.31,77204.28
330,8633,2120,80,7726.04,14.36,529326.45
331,4988,1725,8,2318.38,25.58,13802.71
332,6055,3694,51,2959.95,28.13,108493.12
333,1705,4308,60,4058.19,16.23,203972.75
334,793,448,7,3702.33,9.44,23469.81
335,8010,4263,85,6588.26,1.71,550426.06
336,7881,3158,26,4133.03,20.26,85687.63
337,9050,3556,97,9886.75,20.88,758772.47
338,6043,2160,71,3608.04,20.44,203809.52
339,9286,4538,58,5941.04,15.81,290102.17
340,8702,1684,59,4197.67,19.64,199021.61
341,6010,2005,32,8950.84,0.4,285281.17
342,8986,4112,27,3839.0,16.97,86063.09
343,3473,4110,43,9879.15,2.65,413546.16
344,6326,341,41,9269.17,11.17,337585.95
345,2745,4583,20,5460.75,25.36,81518.08
346,4072,915,25,3023.76,29.48,53308.89
347,2559,2427,64,1466.4,16.83,78054.71
348,6162,2195,83,9092.82,2.85,733194.99
349,5759,4452,96,6212.95,3.78,573897.65
350,1264,1752,33,248.43,18.09,6715.14
351,390,3643,43,1855.34,28.61,56954.67
352,5582,541,53,8786.14,16.56,388551.23
353,6622,1034,83,4993.35,23.86,315560.75
354,9643,2611,55,6715.86,27.36,268312.04
355,5626,1158,18,307.63,7.72,5109.86
356,504,1533,6,7748.5,5.72,43831.71
357,294,1150,8,6723.29,29.31,38021.55
358,4970,688,94,7631.91,16.3,600463.41
359,2661,4006,88,1256.55,6.96,102880.28
360,126,3756,34,9749.99,16.26,277597.82
361,1755,1857,37,8115.97,26.69,220143.25
362,9916,3577,91,4144.73,7.47,348995.8
363,8644,3587,39,9230.58,5.08,341704.99
364,4153,3389,76,2222.55,27.1,123138.16
365,2955,1006,80,9669.28,9.93,696729.64
366,258,486,33,8512.78,7.11,260948.2
367,6835,2495,25,3091.44,18.34,63111.75
368,2699,1567,62,5444.46,12.69,294720.6
369,9275,1170,7,1596.67,4.45,10679.33
370,9646,1351,49,4507.22,12.9,192363.64
371,2402,4698,92,7718.17,26.12,524600.93
372,9575,1651,77,139.75,6.38,10074.21
373,2697,1421,89,2770.1,14.59,210568.87
374,9741,2493,2,5255.76,22.85,8109.64
375,3835,3242,19,503.37,22.75,7388.21
376,9649,2313,76,2002.81,15.05,129305.42
377,4416,2993,93,1712.73,29.98,111530.58
378,3594,4354,31,9995.47,26.62,227374.95
379,8514,3019,16,5108.56,10.65,73031.97
380,1823,891,18,7662.07,13.6,119160.51
381,1464,1922,59,9276.83,6.69,510716.39
382,6466,3464,6,3767.51,25.31,16883.72
383,6833,214,38,8599.95,26.71,239510.33
384,2990,522,52,3432.92,3.19,172817.31
385,8298,3133,77,132.51,23.49,7806.52
386,4223,2269,21,6568.15,26.76,101020.77
387,9453,581,96,2504.11,10.97,214023.28
388,8082,788,76,773.32,17.23,48645.85
389,988,4159,85,4166.9,6.73,330349.75
390,4388,2044,23,2699.75,1.83,60957.93
391,1340,763,84,8472.85,4.49,679763.2
392,5626,1552,51,7073.19,0.54,358784.73
393,4309,3436,94,9820.92,16.38,771951.81
394,4819,4749,42,645.83,14.28,23251.43
395,5683,101,83,8921.16,8.27,679220.55
396,9764,2474,34,4038.29,11.84,121045.32
397,7022,4937,70,1899.58,23.73,101416.68
398,7006,4342,16,3754.24,27.66,43453.08
399,813,1250,21,847.95,14.51,15223.16
400,105,309,52,1306.17,10.01,61121.96
401,160,3221,86,7801.83,13.29,581787.14
402,3000,3910,2,3500.39,28.33,5017.46
403,5341,1928,95,9025.25,24.11,650679.91
404,7379,2593,80,1380.02,12.61,96479.96
405,7036,1305,15,1654.85,11.18,22047.57
406,6599,74,4,9414.1,13.84,32444.75
407,7022,648,88,7018.78,8.95,562372.73
408,3963,3379,87,1303.7,20.5,90170.41
409,1212,1440,6,9779.47,8.77,53530.86
410,7137,4356,54,6858.45,28.18,265989.89
411,8919,4386,20,6176.75,8.5,113034.53
412,7780,3813,78,9298.41,24.97,544174.57
413,6123,3091,47,2002.61,27.31,68417.77
414,3757,4170,32,6747.24,10.94,192290.94
415,3358,2701,43,6893.42,16.56,247330.39
416,4602,4570,34,5305.28,26.08,133336.54
417,810,4917,10,8974.71,17.05,74445.22
418,8749,3880,61,4741.63,21.83,226098.46
419,5580,4780,44,6125.84,3.42,260318.8
420,9545,3906,99,3826.64,16.17,317579.36
421,8749,1283,95,5522.61,19.91,420190.54
422,6980,1051,9,267.14,22.92,1853.2
423,6947,1721,49,1140.43,29.93,39155.87
424,3193,4485,73,3663.93,18.39,218279.73
425,1779,2691,2,2160.4,23.01,3326.58
426,1515,4258,75,237.87,5.51,16857.25
427,6968,796,55,9687.75,23.07,409903.23
428,8107,459,53,7714.26,0.14,408283.38
429,4349,4047,20,2080.76,6.56,38885.24
430,2441,3096,69,8380.35,16.78,481214.78
431,7626,403,97,7492.43,0.21,725239.5
432,9961,1814,27,4367.94,7.82,108711.91
433,9220,1738,94,8920.52,1.85,823016.1
434,1754,2042,41,4142.76,10.0,152867.84
435,6572,4520,7,349.02,11.19,2169.75
436,4419,409,22,9076.12,1.51,196659.55
437,3065,1280,57,3641.87,7.09,192868.7
438,6357,3970,34,6699.74,0.63,226356.08
439,8190,3461,40,4263.09,23.05,131217.91
440,1816,2848,70,6756.54,14.05,406507.23
441,9369,2570,65,2240.71,15.2,123507.94
442,9641,2461,31,557.26,2.29,16879.46
443,2068,3161,20,7527.91,10.74,134388.25
444,1468,3920,73,1517.55,27.6,80205.55
445,4580,814,61,8243.57,25.45,374880.47
446,1190,4848,26,3231.24,19.54,67596.25
447,5269,2262,23,4360.99,18.34,81907.24
448,6569,3400,36,1434.76,12.53,45179.44
449,4691,1225,58,9872.61,17.63,471659.99
450,1398,288,14,3071.69,7.59,39739.68
451,1190,4791,30,4677.51,7.08,130390.27
452,5947,2211,40,1783.34,14.85,60740.56
453,8451,2427,58,2763.23,6.18,150362.82
454,2736,3809,3,5874.39,15.82,14835.18
455,3992,69,58,8812.77,10.5,457470.89
456,7422,750,35,2042.96,23.48,54714.55
457,375,2586,83,8086.11,27.58,486044.75
458,5222,325,7,4848.56,23.08,26106.59
459,3541,3584,72,9972.75,2.02,703533.63
460,1894,3088,73,8513.15,11.48,550116.35
461,5100,3649,28,9334.43,25.58,194507.12
462,4423,4419,15,6741.43,16.96,83971.25
463,7587,3751,46,8126.11,26.22,275790.42
464,2163,2984,27,286.4,26.91,5651.9
465,4716,3138,11,9111.86,2.32,97905.11
466,2630,4567,56,8465.69,25.49,353235.99
467,736,1480,24,3329.26,27.31,58080.94
468,6790,4655,88,5968.85,18.73,426877.83
469,7759,4250,23,7116.89,26.21,120785.72
470,2451,2914,88,3600.5,8.94,288518.15
471,599,1163,98,8334.12,27.17,594834.48
472,5213,4686,68,1319.87,1.17,88701.07
473,4821,1982,64,3069.96,13.93,169108.13
474,8113,1875,35,7380.16,29.1,183138.67
475,9146,3898,61,7259.93,17.13,366994.54
476,1207,3678,40,6951.44,21.06,219498.67
477,9527,3448,55,3651.86,8.58,183619.17
478,9651,1912,58,7440.98,20.22,344312.0
479,1086,2755,38,3830.69,14.59,124328.11
480,4165,1288,46,8949.93,19.65,330798.36
481,4593,2064,48,8812.05,13.3,366722.27
482,257,4571,74,5739.47,16.87,353070.38
483,3062,2361,15,2253.96,22.35,26253.0
484,3307,2205,16,4387.33,21.81,54887.25
485,7016,4113,34,3042.07,23.26,79372.47
486,7924,4292,25,8175.0,14.3,175149.38
487,9308,4646,15,5471.51,29.26,58058.19
488,769,2495,28,6452.74,27.14,131641.06
489,4563,3087,24,6280.71,25.81,111831.81
490,2978,1345,61,260.07,9.82,14306.4
491,8493,3747,88,6088.85,29.0,380431.35
492,3201,3914,10,3193.46,17.48,26352.43
493,6327,2071,73,4087.0,14.01,256552.02
494,1936,101,51,2872.87,27.27,106561.36
495,4305,2855,1,9792.51,16.71,8156.18
496,7350,3940,80,9598.34,16.13,644010.22
497,2530,969,77,1049.43,23.8,61574.26
498,7975,2952,25,6382.51,0.84,158222.42
499,4612,1151,51,7583.25,5.49,365513.41
500,5462,2423,72,8284.76,13.04,518718.77
501,9899,166,49,1941.13,25.77,70604.14
502,5574,3205,95,1579.31,26.9,109675.18
503,3355,676,57,7267.15,20.14,330802.12
504,7067,2632,61,3073.06,5.48,177184.04
505,9891,841,5,8786.46,0.92,43528.12
506,2815,4894,31,5762.14,9.54,161585.39
507,4910,4081,10,6190.51,10.67,55299.83
508,9247,451,96,8425.25,29.1,573456.22
509,1162,3981,6,1402.56,1.01,8330.36
510,4886,1325,26,7130.35,4.73,176620.2
511,4124,3105,99,3828.29,6.37,354858.36
512,6376,833,2,6100.31,27.87,8800.31
513,8500,4671,73,3380.18,1.29,243570.02
514,9912,313,67,6461.11,29.14,306748.95
515,6266,3109,53,1672.88,5.11,84131.98
516,33,2338,25,8753.32,3.27,211677.16
517,9839,3756,36,3165.78,5.92,107221.17
518,8071,4860,57,4802.12,16.4,228830.62
519,1695,1362,6,1608.4,21.14,7610.31
520,727,1702,4,2365.93,4.49,9038.8
521,7699,3739,13,1492.09,4.04,18613.52
522,5290,4282,86,5576.22,6.56,448096.12
523,2973,4645,52,6905.87,1.16,354939.62
524,1307,2495,45,883.0,26.95,29026.42
525,7061,3510,7,9063.87,5.16,60173.22
526,4825,1089,65,2385.23,26.07,114621.04
527,2074,1030,9,6355.17,21.4,44956.47
528,5117,2712,69,3425.79,24.69,178017.41
529,4695,3394,87,3566.36,17.28,256658.09
530,4818,4263,72,4234.25,20.04,243770.85
531,1570,1895,44,1776.96,6.51,73096.32
532,5751,4355,50,1126.02,5.21,53367.72
533,7335,3597,24,7715.12,15.79,155925.66
534,9806,1352,33,9763.06,20.58,255876.13
535,1284,3707,76,1698.45,23.08,99290.03
536,2218,2178,31,5110.7,28.18,113785.65
537,1007,3932,6,1319.77,12.79,6905.83
538,9419,8,9,8868.13,12.79,69605.07
539,9132,4082,80,1794.43,22.05,111900.65
540,6402,2190,48,2448.44,8.92,107041.88
541,7920,2741,63,2335.18,10.26,132022.2
542,1048,3016,66,637.46,18.37,34343.67
543,9126,1581,68,2301.75,18.55,127484.73
544,2597,1206,92,6411.36,7.41,546137.6
545,9200,3546,3,1152.29,4.79,3291.29
546,6929,1138,70,633.01,29.85,31083.96
547,2654,550,77,6369.73,1.61,482572.66
548,5256,3879,5,2074.91,25.16,7764.31
549,1569,765,76,3199.78,28.77,173219.45
550,7022,3661,1,4319.99,17.62,3558.81
551,3243,2535,20,7222.96,9.16,131226.74
552,5334,2885,96,9275.16,13.22,772702.45
553,2498,1913,36,560.26,10.31,18089.9
554,878,603,36,5660.49,9.62,184174.23
555,8961,4891,4,6795.32,20.61,21579.22
556,6876,995,90,7622.71,2.04,672048.6
557,8856,730,96,6813.25,21.0,516716.88
558,1990,4285,21,349.95,2.96,7131.42
559,6861,2527,76,7980.53,12.57,530280.68
560,9683,4935,72,3186.36,10.77,204709.61
561,3494,2583,46,1522.21,3.68,67444.86
562,7360,1128,84,9352.86,24.59,592451.3
563,6912,119,61,7868.03,0.87,475774.27
564,9683,1426,12,3765.05,27.53,32742.38
565,201,1345,48,5106.13,2.94,237888.47
566,6142,3477,42,3841.34,13.63,139346.15
567,4823,4947,28,3357.64,8.97,85580.87
568,119,706,59,4135.08,10.35,218718.85
569,6999,4881,56,2376.83,24.58,100385.89
570,6421,3685,93,4528.71,4.8,400953.87
571,3091,598,82,9815.43,22.82,621195.01
572,1732,271,81,9238.02,14.91,636711.13
573,9965,3048,76,6250.18,15.31,402289.09
574,4092,3226,53,9621.88,13.91,439024.25
575,6755,2436,54,4058.49,20.67,173858.41
576,1292,4502,37,3833.25,29.35,100203.07
577,1657,2527,7,3412.61,1.13,23618.33
578,612,4037,11,3097.73,5.91,32061.2
579,8048,3690,61,8637.6,22.46,408553.3
580,4295,245,44,8167.6,19.08,290805.76
581,6316,4627,1,2084.47,13.04,1812.66
582,3706,510,84,5420.7,27.38,330667.04
583,6913,4363,93,2751.37,25.64,190270.44
584,1879,4423,46,6020.51,28.8,197183.74
585,1678,3890,69,9396.91,11.35,574794.89
586,2859,2974,55,8198.38,25.8,334575.89
587,8824,103,64,6683.18,4.62,407962.69
588,8219,815,19,8622.01,17.39,135330.21
589,9761,1188,26,103.21,22.55,2078.34
590,3720,3738,55,375.17,14.87,17566.02
