id,company_name,industry,website,phone,address,city,country,postal_code,assigned_to,status
33,Харитонов Лтд,Finance,www.npo.net,+7 262 072 7269,"пр. Пограничный, д. 25 стр. 56",клх Баксан,Бахрейн,388958,aa64caf3-db10-44d4-aeff-6da4553c7b84,Prospect
34,НПО «Попова Титов»,Logistics,www.ip.edu,+7 (821) 559-60-85,"пр. Блюхера, д. 130 стр. 4/8",клх Южно-Курильск,Белиз,005455,6bbb3b91-8128-4a83-aa19-6820d22506d1,Lead
35,"ИП «Ефремова, Журавлев и Андреева»",Consulting,www.don-stro.org,81590915747,"наб. Фрунзе, д. 3",с. Яр-Сале,Литва,479922,6bbb3b91-8128-4a83-aa19-6820d22506d1,Prospect
36,ООО «Волков-Третьяков»,Energy,www.ao.net,+7 974 696 1704,"бул. Отрадный, д. 380",д. Кызыл,Азербайджан,477676,8aa884a6-4838-4786-9321-9842cd5a6452,Inactive
37,НПО «Григорьева-Ларионов»,Construction,www.rao.net,8 685 734 87 15,"пр. Ушакова, д. 9/4 к. 2/3",п. Стерлитамак,Монако,566565,6147fcda-5527-4f1c-8387-12a048a0dbe6,Active
38,Трофимова Лимитед,Energy,www.ao.biz,+7 (386) 491-2545,"бул. Казачий, д. 9/2",с. Котлас,Зимбабве,737504,fda266d3-8f04-4aac-b9cf-0070e57b1e05,Inactive
39,АО «Федоров Александрова»,Manufacturing,www.ao.net,8 768 265 72 84,"алл. Революционная, д. 9/8",клх Мурманск,Филиппины,834315,8ca8eeeb-61c3-4ffa-b16b-e0372b50073f,Lead
40,АО «Морозов»,IT,www.zao.biz,8 (061) 850-18-78,"ул. Рыбацкая, д. 90",клх Каменномостский,Малави,449206,6fd9ce98-d88e-4e3a-8490-c8c2c6068c53,Prospect
41,Газпромбанк,Manufacturing,www.ip.org,8 488 715 8580,"наб. Жуковского, д. 2/4 стр. 769",д. Артем,Исландия,003659,f12d392d-307e-4d38-816c-51a68f765432,Inactive
42,Сафонов Групп,Healthcare,www.muraveva.org,+76564009720,"бул. Энергетический, д. 1/6 стр. 39",д. Кизляр,Китай,036385,f1b4b5ce-1a2a-45c2-8cc6-3bfc6b7e13dc,Inactive
43,Глория Джинс,Retail,www.zao.biz,8 (362) 787-13-75,"ул. Мелиораторов, д. 8/2 к. 9/3",клх Усть-Катав,Марокко,449342,1ab0d7d5-7576-4cc4-81e4-3b38a2f62c3d,Lead
44,АО «Маркова»,Education,www.baer.edu,+7 092 015 56 73,"наб. Глинки, д. 24 к. 3",к. Белгород,Гренада,126118,7c7c5a17-d13e-4631-8c94-966bc68c511a,Prospect
45,ОАО «Дьячкова Некрасова»,IT,www.martinov.net,+7 (404) 274-09-85,"пер. Ставропольский, д. 3 к. 9/3",д. Нефтегорск (Самар.),Гвинея-Бисау,071304,f1b4b5ce-1a2a-45c2-8cc6-3bfc6b7e13dc,Lead
46,Савин и партнеры,Consulting,www.grishina.ru,8 (234) 796-90-93,"пер. Парижской Коммуны, д. 62",п. Саратов,Кипр,424465,1d64c1c8-d0af-4367-95f1-a38458985cd6,Prospect
47,НПО «Бирюков Титов»,IT,www.npo.info,+7 (321) 848-6385,"пр. Толбухина, д. 2 к. 9/9",клх Киров (Вятка),Турция,034268,cc5244ad-e232-4726-a741-c386676a3d4d,Prospect
48,ОАО «Ковалев Корнилов»,Logistics,www.oao.com,+7 498 818 9252,"алл. Степана Разина, д. 58",ст. Черемхово,Руанда,252611,7c7c5a17-d13e-4631-8c94-966bc68c511a,Lead
49,АО «Горбачева Носков»,Logistics,www.ooo.net,+7 (449) 856-39-96,"пер. Нефтяников, д. 599 к. 573",д. Сухиничи,Шри-Ланка,205972,6fd9ce98-d88e-4e3a-8490-c8c2c6068c53,Lead
50,АО «Ситникова Селиверстов»,Retail,www.rodionov.info,8 (423) 283-9710,"бул. Белинского, д. 718 к. 364",п. Горячинск,Малави,551942,333a683f-b1b4-463c-9b99-2cd3bd395531,Prospect
51,ОАО «Лазарев»,Consulting,www.uralkali.info,8 (538) 020-4902,"ш. Березовое, д. 16",к. Катав-Ивановск,Молдавия,031642,ffa439be-e000-4867-aecc-37554c02bfb4,Inactive
52,ЗАО «Субботина Колобов»,Healthcare,www.mihalov.net,83502415938,"ш. Машиностроителей, д. 5 к. 7/5",г. Хоста,Израиль,907919,7a5855bf-13e1-405f-8ef9-3ec8bf65c1df,Active
53,ООО «Дементьева-Брагин»,Logistics,www.oao.org,+7 415 457 12 55,"пер. Рылеева, д. 73 к. 255",с. Терскол,Перу,209081,62c08ecb-e215-42fd-bd0f-cf7238df9127,Inactive
54,Кузнецов Инк,Energy,www.zao.info,+7 206 445 96 29,"бул. Белорусский, д. 9 к. 524",п. Усинск,Индонезия,970368,706b2b58-712e-4e13-bf6d-02bf92eacd48,Prospect
55,АО «Киселева-Гуляев»,Consulting,www.ip.net,8 662 451 98 52,"пр. Николаева, д. 528 к. 5",ст. Курганинск,Гренада,982846,1d64c1c8-d0af-4367-95f1-a38458985cd6,Active
56,РАО «Нестерова Чернов»,IT,www.gk.ru,8 447 345 27 35,"ш. Краснодарское, д. 8/6 стр. 237",г. Завьялиха,Палау,378928,b5dc92ff-0e5c-4bf5-83f9-54005d1cd913,Lead
57,РАО «Доронина-Ларионова»,Construction,www.ooo.net,8 (675) 887-0681,"пр. Кошевого, д. 82",д. Пушкинские Горы,Палау,541898,4c308874-36f4-465b-a575-4aabcaadab96,Active
58,ЗАО «Дорофеева-Савельев»,Logistics,www.npo.edu,8 588 500 5123,"ул. Жуковского, д. 7/3",с. Зарайск,Украина,016806,151e0785-f19b-499e-9983-9cde827772dc,Inactive
59,Громов Групп,Healthcare,www.npo.org,+7 965 176 1171,"алл. Макарова, д. 1",д. Домбай,Йемен,431802,36aefd90-26da-4c6d-a6c3-8fe04cd3be3a,Prospect
60,Приосколье,Logistics,www.bragina.biz,83874221968,"пр. Ягодный, д. 534 к. 76",г. Сасово,Парагвай,124198,748c2a48-973d-474d-8b58-6181ae2d41fb,Active
61,НПО «Колесникова»,Consulting,www.ooo.net,+7 (229) 631-19-81,"ул. Станционная, д. 9/2 стр. 15",д. Тосно,Никарагуа,988363,39dd5b71-1690-4156-80cc-027a0c8f1450,Active
62,"ЗАО «Фадеев, Гаврилов и Савина»",Energy,www.npo.edu,+7 (461) 845-0094,"пр. Седова, д. 461 стр. 138",п. Курумкан,Казахстан,009710,39dd5b71-1690-4156-80cc-027a0c8f1450,Lead
63,"ОАО «Смирнова, Мишин и Лыткин»",Healthcare,www.solovev.net,83738947980,"ул. Труда, д. 133",д. Апрелевка,Норвегия,549915,377e6772-9e1c-4b21-9a6c-6d98a8850f36,Active
64,Леруа Мерлен Восток (Leroi Merlin),Logistics,www.zao.ru,+7 (880) 809-13-21,"бул. Журавлева, д. 136 к. 36",с. Куртамыш,Колумбия,820697,90479e76-3e3b-46ee-a13e-ca6a612e9c0e,Inactive
65,"РАО «Рыбакова, Фомичев и Захаров»",Finance,www.ip.info,+7 247 204 7148,"ул. Свободная, д. 9 стр. 524",п. Терней,Словения,243495,f945d903-b6be-4943-a56b-1c7742941d83,Active
66,Елисеев Лимитед,Energy,www.ao.net,+7 (362) 951-3904,"пр. Юности, д. 55 к. 4",ст. Серафимович,Замбия,105235,7a5855bf-13e1-405f-8ef9-3ec8bf65c1df,Active
67,Горбачев и партнеры,Healthcare,www.npo.net,+7 (047) 601-2943,"ул. Луговая, д. 11 стр. 727",г. Майкоп,Саудовская Аравия,702446,41dcf8fa-ac65-4d48-bf21-af60d5f41514,Inactive
68,Большаков Лтд,Manufacturing,www.ao.net,8 (061) 590-55-89,"пр. Приозерный, д. 236",д. Губкинский,Новая Зеландия,179024,e62ff463-11e4-4869-97c0-b83fc951c5b2,Active
69,Вишнякова Лтд,Finance,www.gorbunov.ru,8 266 335 18 23,"бул. Марта 8, д. 59 стр. 917",ст. Шатой,Монако,339382,05c01860-314c-48b2-a11f-0efb2cbcc845,Inactive
70,НПО «Крылов»,Manufacturing,www.oao.net,87570552254,"пер. Парковый, д. 941",д. Добрянка,Черногория,232419,ddf4e884-2190-4d01-bf3a-6d16bad7c372,Lead
71,ИП «Архипов»,Retail,www.sazonova.ru,82899834666,"бул. Инженерный, д. 723",г. Алагир,Гаити,653901,7d1c45b2-ff6f-48a9-a689-fd6e1dd821ce,Active
72,ЗАО «Колесникова Куликова»,Manufacturing,www.oao.org,83411413577,"наб. Сиреневая, д. 8 стр. 65",д. Кингисепп,Венесуэла,469540,e3eb59c7-bcee-4c32-8968-34f4630b5d3b,Lead
73,НПО «Горшкова»,IT,www.ip.info,+7 023 637 22 84,"бул. Локомотивный, д. 73",к. Нарым,Болгария,137460,36d95212-c89f-49e4-a95d-e46b2c675450,Prospect
74,ЗАО «Семенов»,Retail,www.strelkova.net,+7 (288) 765-12-36,"пр. Иванова, д. 13 стр. 6",п. Калуга,Лесото,120043,333a683f-b1b4-463c-9b99-2cd3bd395531,Prospect
75,Нефтиса,Energy,www.ao.ru,+7 345 455 2288,"пер. Крестьянский, д. 2/1",клх Забайкальск,Кипр,553653,05c01860-314c-48b2-a11f-0efb2cbcc845,Active
76,Максимова и партнеры,IT,www.zao.com,+7 346 239 71 02,"пер. Дальневосточный, д. 6/6 стр. 20",к. Ростов-на-Дону,Гондурас,759018,e62ff463-11e4-4869-97c0-b83fc951c5b2,Prospect
77,НПО «Муравьев-Горбунов»,Energy,www.rossiskaja.ru,8 (289) 637-02-14,"наб. Красноярская, д. 2/3",ст. Вязьма,Чад,799183,7d1c45b2-ff6f-48a9-a689-fd6e1dd821ce,Prospect
78,Аксенов и партнеры,IT,www.burova.net,+76787960686,"пер. Ватутина, д. 383",клх Юрьевец (Иван.),Сирия,121400,f945d903-b6be-4943-a56b-1c7742941d83,Active
79,Восточный экспресс банк,Finance,www.sharova.org,8 267 643 4884,"ш. Ветеранов, д. 3 к. 2",с. Казань,Австрия,997314,4c308874-36f4-465b-a575-4aabcaadab96,Inactive
80,НПО «Кулакова»,Energy,www.rao.biz,+73684751963,"пер. Толстого, д. 54 стр. 887",д. Каменск-Шахтинский,ОАЭ,895334,9ec9eeab-3e3a-40f4-86a4-6681cb02f57f,Prospect
81,Группа ЛСР,Manufacturing,www.suvorova.net,+7 (517) 155-0584,"бул. Гайдара, д. 6/7",д. Медногорск,Мозамбик,645688,3f0d11cf-3387-4219-a699-7a6547a8379f,Inactive
82,ОАО «Исаева Кудрявцев»,Construction,www.metrostro.net,+7 (695) 360-1500,"наб. Радужная, д. 28",с. Магнитогорск,Словакия,506732,f53ba7b3-c300-4bd9-b8a9-f87c175403ac,Active
83,ЗАО «Белов Исакова»,IT,www.oao.ru,+7 740 131 91 52,"бул. Осипенко, д. 93 к. 43",к. Палана,Гамбия,190355,c4f4b595-b14a-405e-9839-854322c20591,Lead
84,ИП «Исакова Титов»,Retail,www.zao.net,8 220 537 8887,"наб. Сурикова, д. 2/9",с. Елатьма,Мексика,640794,e7bac3a7-46a7-4402-bc9c-9beb5573ef92,Lead
85,ЗАО «Пестова Гаврилов»,Logistics,www.ip.net,8 (416) 672-68-34,"пр. Челюскинцев, д. 427 к. 70",клх Эльтон,Люксембург,580935,c79ef18a-241f-4f0d-9e99-4b46ab236ef0,Lead
86,General Fueller,Education,www.oao.net,8 (663) 761-2883,"бул. Геологов, д. 7 стр. 286",д. Стрежевой,Россия,182729,6561c367-88b9-480f-ae11-f75e5d5497c1,Lead
87,ЗАО «Шилова»,Consulting,www.strelkova.org,+7 381 982 10 06,"алл. Щорса, д. 7/8",клх Чулым,Фиджи,335272,ddf4e884-2190-4d01-bf3a-6d16bad7c372,Inactive
88,Металлоинвест,Construction,www.en.org,8 293 687 18 05,"наб. Поселковая, д. 533 к. 65",г. Владивосток,Нигер,326615,c4f4b595-b14a-405e-9839-854322c20591,Inactive
89,"ЗАО «Антонов, Беляев и Медведев»",Construction,www.oao.ru,88528771043,"алл. Пирогова, д. 7/2",ст. Канск,Хорватия,526336,ca32c20b-5b70-4044-b0a4-f83b7b00a452,Inactive
90,РАО «Овчинникова Рожков»,Education,www.kudrjashov.info,8 812 500 00 96,"алл. Целинная, д. 3/9 стр. 91",г. Тарко-Сале,Белиз,318551,e569374f-f830-4eca-a925-9b070e452822,Lead
91,ОАО «Пономарев-Ларионова»,Construction,www.npo.net,+79664229455,"ш. Подстанция, д. 397 к. 8/6",д. Малгобек,Руанда,206343,f53ba7b3-c300-4bd9-b8a9-f87c175403ac,Prospect
92,ИП «Стрелков»,Healthcare,www.ooo.com,82287351614,"наб. Высоцкого, д. 9 стр. 92",клх Псебай,Буркина-Фасо,983336,2ff8a24f-f2cc-47e0-b7ce-4d3a137db258,Inactive
93,ЗАО «Куликова Шарова»,IT,www.ooo.biz,+7 319 176 7563,"алл. Коммуны, д. 3 к. 58",ст. Рубцовск,Индия,232503,14153a97-07db-4aba-9926-35f1fa8181e5,Active
94,АО «Муравьева-Кабанов»,Energy,www.ooo.org,8 815 847 6770,"наб. Приморская, д. 112",г. Рубцовск,Франция,629436,5d4ed284-317e-43f8-ac56-4802d36b1c72,Inactive
95,Татнефть,Finance,www.oao.biz,+78751362453,"ш. Майское, д. 710 к. 58",д. Южно-Курильск,Сан-Томе и Принсипи,579432,7c7c5a17-d13e-4631-8c94-966bc68c511a,Active
96,Емельянова и партнеры,IT,www.aptechnaja.org,8 744 395 1387,"наб. Механизаторов, д. 330 стр. 8/3",клх Моршанск,Казахстан,812322,b78ca4cc-a13b-4c3c-81f9-b6329a7f6c17,Inactive
97,РАО «Виноградова Котов»,Education,www.bolshakov.com,+7 521 969 5857,"пер. Снежный, д. 430 к. 94",ст. Богучар,Намибия,115139,c18288c9-02cf-4c3a-a707-f57e185d7575,Active
98,ЗАО «Титова Лаврентьев»,Finance,www.npo.edu,8 815 602 1214,"ул. Циолковского, д. 6/3",п. Смоленск,Танзания,799628,11e67c73-6b50-41b1-9ca9-69cbd5f12bcc,Lead
99,РАО «Тетерина-Николаева»,Finance,www.ip.biz,+7 (386) 628-12-33,"алл. Грибоедова, д. 6/9",г. Тимашевск,Ирак,030726,462ef563-75dc-4638-baeb-5d7ca6835ef2,Active
100,ООО «Абрамова-Копылов»,Retail,www.oao.edu,8 (241) 134-71-19,"бул. Панфилова, д. 8",к. Пятигорск,Гватемала,898598,151e0785-f19b-499e-9983-9cde827772dc,Prospect
101,Горбачева и партнеры,Education,www.rosbank.edu,+7 817 168 7218,"пр. Шмидта, д. 529 стр. 967",клх Кулу,Боливия,364858,54bfa54b-6025-467b-aa7f-d368d674b282,Prospect
102,ИП «Андреев»,Construction,www.kolesnikova.com,8 (563) 020-60-50,"наб. Разина, д. 16 к. 7/8",клх Губкинский,Босния и Герцеговина,985113,11e67c73-6b50-41b1-9ca9-69cbd5f12bcc,Prospect
103,АО «Зимин»,Manufacturing,www.burov.com,+7 (454) 550-38-21,"алл. Уральская, д. 141 к. 6/9",клх Мценск,Мексика,813458,b56c391c-6bca-429b-846b-f1bba5fe72b7,Active
104,Авиакомпания Икар,Logistics,www.ao.net,+7 (773) 061-2345,"бул. Линейный, д. 2 стр. 4",ст. Сергиев Посад,Багамские Острова,004696,7a5855bf-13e1-405f-8ef9-3ec8bf65c1df,Prospect
105,РАО «Семенова-Гордеева»,Consulting,www.zao.info,+73233902829,"наб. Черноморская, д. 7/5 к. 9",ст. Котельнич,Тринидад и Тобаго,938402,c18288c9-02cf-4c3a-a707-f57e185d7575,Lead
106,Куйбышевазот,Education,www.rao.biz,+7 189 720 0674,"ул. Ленская, д. 5 стр. 632",п. Благовещенск (Амур.),Румыния,156546,5d89668a-9971-4eb7-b1d1-0f9cda7dff34,Active
107,Шилов Групп,Manufacturing,www.oao.biz,+7 (252) 285-8275,"алл. Курганная, д. 540 к. 5/5",клх Гаврилов-Ям,Никарагуа,898225,377e6772-9e1c-4b21-9a6c-6d98a8850f36,Inactive
108,НПО «Быкова-Полякова»,Construction,www.kubishevazot.com,82088566979,"наб. Звездная, д. 414",ст. Воскресенск,Уругвай,088138,f53ba7b3-c300-4bd9-b8a9-f87c175403ac,Prospect
109,Соколов Инкорпорэйтед,Consulting,www.kuzmin.info,+73740072222,"пр. Прибрежный, д. 9 к. 3",с. Гдов,Сент-Китс и Невис,605286,333a683f-b1b4-463c-9b99-2cd3bd395531,Inactive
110,РАО «Козлова-Макарова»,Healthcare,www.ooo.com,8 (487) 272-29-91,"ш. Сахалинское, д. 9 стр. 5/3",клх Юровск,ЮАР,179150,7f989e1c-562c-4c27-94f4-fb1c0b2b5748,Lead
111,"РАО «Носов, Егоров и Пономарев»",Logistics,www.ooo.info,8 (918) 219-9823,"пер. Дачный, д. 71 к. 396",г. Апшеронск,Палау,043520,7d1c45b2-ff6f-48a9-a689-fd6e1dd821ce,Active
112,ООО «Одинцова Селиверстова»,Education,www.mamontov.net,+7 341 192 9903,"пр. Поселковый, д. 4",клх Анадырь,Гватемала,190501,53954df3-04e4-48a9-a745-976bd512e029,Lead
113,"ИП «Артемьев, Горшкова и Борисова»",Consulting,www.zao.org,8 (840) 326-1046,"ул. Запорожская, д. 7 к. 9",д. Кашхатау,Южный Судан,823145,6cdfbfb7-dbca-4efe-a03f-be390f6a4647,Inactive
114,"ОАО «Ермакова, Сафонова и Смирнов»",Logistics,www.volgogradenergosbit.info,+7 666 947 3621,"алл. Тамбовская, д. 9/2 к. 5/5",г. Уварово,Австрия,857722,24dc5785-c24a-48ec-8b83-3d49cf89a60b,Lead
115,АО «Лобанов-Дьячкова»,Consulting,www.zao.edu,89624035191,"наб. Кубанская, д. 944 к. 46",д. Волхов,Египет,576740,7a5855bf-13e1-405f-8ef9-3ec8bf65c1df,Active
116,АО «Гордеева Коновалова»,Retail,www.ooo.edu,+7 034 833 04 87,"пер. Ручейный, д. 3/8 стр. 619",ст. Верещагино (Перм.),Алжир,969946,ca32c20b-5b70-4044-b0a4-f83b7b00a452,Lead
117,ОАО «Егорова»,Finance,www.zao.com,+7 (799) 324-27-03,"наб. Новоселов, д. 467",клх Усть-Джегута,Бруней,467644,1b0ddc6a-e5ab-4b01-95b0-c8e798fa2c50,Prospect
118,Герасимов Лимитед,Healthcare,www.ooo.net,+78459156936,"алл. Техническая, д. 8/6 к. 5/1",с. Самара,Индонезия,285774,8ca8eeeb-61c3-4ffa-b16b-e0372b50073f,Inactive
119,РАО «Рыбакова»,Education,www.zao.org,+7 127 870 00 20,"пр. Верхний, д. 1 к. 9",д. Неплюевка,Чехия,978302,5d4ed284-317e-43f8-ac56-4802d36b1c72,Lead
120,"НПО «Орехова, Терентьева и Матвеева»",Logistics,www.luidor.com,8 (230) 378-2151,"пр. 50 лет Победы, д. 2 к. 8",к. Миллерово,Япония,690982,f1b4b5ce-1a2a-45c2-8cc6-3bfc6b7e13dc,Prospect
121,АО «Поляков Турова»,Energy,www.ao.info,+7 559 230 7095,"алл. Дзержинского, д. 703 к. 6/9",с. Усолье Сибирское,Великобритания,628600,5d89668a-9971-4eb7-b1d1-0f9cda7dff34,Prospect
122,АО «Панфилов»,Retail,www.simonov.net,8 (563) 480-33-78,"пер. Славянский, д. 32 стр. 2",ст. Южно-Сахалинск,Сейшельские Острова,529161,c18288c9-02cf-4c3a-a707-f57e185d7575,Inactive
123,ОАО «Симонов Суворова»,Retail,www.slavneft.biz,8 054 300 1813,"пр. Высокий, д. 2 к. 42",п. Анапа,Кувейт,851583,462ef563-75dc-4638-baeb-5d7ca6835ef2,Prospect
124,Астеллас Фарма,Retail,www.oao.info,+7 063 351 7041,"бул. Камский, д. 10 стр. 918",клх Малгобек,Таиланд,313093,706b2b58-712e-4e13-bf6d-02bf92eacd48,Active
125,Куйбышевазот,Manufacturing,www.npo.info,+7 638 583 18 51,"пер. Толстого, д. 99 к. 4",к. Гатчина,Камбоджа,069517,6fd9ce98-d88e-4e3a-8490-c8c2c6068c53,Prospect
126,ЗАО «Мартынова Муравьев»,Retail,www.ao.net,8 480 046 1186,"ш. Виноградное, д. 841",клх Невинномысск,Сент-Люсия,226283,e62ff463-11e4-4869-97c0-b83fc951c5b2,Active
127,"НПО «Ширяева, Горбунов и Хохлов»",Manufacturing,www.ooo.ru,8 (034) 566-66-04,"наб. Троицкая, д. 4",г. Урюпинск,Шри-Ланка,167934,c07a8647-4982-452b-9854-8af1315ab178,Inactive
128,"НПО «Овчинникова, Одинцова и Фокина»",IT,www.rozhkov.info,8 559 562 30 80,"наб. Заовражная, д. 5/3",п. Усть-Кулом,Федеративные Штаты Микронезии,682328,c701b146-51f6-48cb-880c-2900c6b708ee,Prospect
129,АО «Семенова-Доронин»,Energy,www.samsung.edu,+7 (957) 549-1320,"бул. Владимирский, д. 115 стр. 9/3",с. Курумкан,Сомали,484209,e569374f-f830-4eca-a925-9b070e452822,Active
130,РАО «Комиссаров Шестаков»,IT,www.natsionalnaja.org,8 (381) 940-12-15,"ул. Смирнова, д. 289 стр. 9",д. Сасово,Молдавия,510381,6cdfbfb7-dbca-4efe-a03f-be390f6a4647,Prospect
